id,title,parent_module,slug,description,logo,trainings,creation_date
5,Achats - Approvisionnement - Stocks,m-f,achats-approvisionnement-stocks,"Exigences qualité et normes ISO du processus d'achat - L'inventaire tournant des stocks - Gestion intégrée achats, stocks et comptabilité ...",11,"3,4,5,6,7,8",2020-01-01 15:42:08
7,Assurance,m-f,assurance,Assurance groupe - Assurance vie - Assurance automobile des flottes entreprises - Assurance transport terrestre et maritime des marchandises...,13,,2020-01-01 15:50:17
8,Douane,m-f,douane,Procédures et documents de dédouanement des marchandises - Les régimes douaniers - La législation douanière ...,1,,2020-01-01 15:51:36
9,Fiscalité,m-f,fiscalite,"La loi de finances - Les obligations comptables, juridiques et fiscales liées aux factures - Traitement des différentes formes de la retenue à la source ...",14,"9,10,11,12,13",2020-01-01 15:53:41
10,Comptabilité,m-f,comptabilite,Comptabilité approfondie - Les travaux comptables de fin d'exercice - La comptabilité pour les non comptables...,10,"14,15,16,17,18,19",2020-01-01 15:55:00
11,Finance - Trésorerie - Caisse,m-f,finance-tresorerie-caisse,"Gestion de la caisse - Tableau de bord financier - Analyse, diagnostic et prévision financière...",15,"20,21",2020-01-01 16:06:32
12,Gestion des Ressouces Humaines,m-f,gestion-des-ressouces-humaines,"La gestion pratique de la paie - Solde de tout compte - Les contrats de  travail et législation de travail - 
L' application MALEK ...",16,"22,23,24,25,26",2020-01-01 16:09:10
13,Marketing et gestion commerciale,m-f,marketing-et-gestion-commerciale,Une bonne gestion d'entreprise passe indéniablement par une bonne gestion commerciale et une stratégie importante du service marketing.,17,"27,28,29,30,31",2020-01-01 16:13:10
14,Communication,m-f,communication,Le coaching - Management des compétences - La gestion du stress et détente au milieu professionnel...,18,"32,33,34,35,36,37,38",2020-01-01 16:16:30
15,Informatique avancé,m-f,informatique-avance,"Savoir maîtriser l'office pour les cadres de l'entreprise (word, excel, powerpoint...) afin de faciliter leurs tâches.",19,"44,45,46",2020-01-01 16:18:57
16,Comptabilité analytique et contrôle de gestion,m-f,comptabilite-analytique-et-controle-de-gestion,Contrôle de gestion et suivi budgétaire.  Analyse des coûts et du prix de revient. Conception et analyse du budget de l'entreprise ...,20,,2020-01-01 16:21:00
17,Juridique - Contentieux,m-f,juridique-contentieux,Les entreprises ont spécialisé un de leurs services afin que le personnel qui y est attaché conseille la direction pour trouver une solution aux questions juridiques internes et externes.,21,,2020-01-01 16:25:15
18,Electricité - Electronique,m-t,electricite-electronique,"Sécurité et maintenance des installations électriques
- La sécurité électrique : Norme , critères et indicateurs de suivi
- Conception , exploitation et entretien  des armoires électriques...",25,,2020-01-01 16:49:20
19,Maintenance - Instrumentation,m-t,maintenance-instrumentation,"Organisation et gestion de service maintenance
- La G.M.A.O
- Maintenance industrielle
- Métrologie...",24,,2020-01-01 16:56:25
20,Gestion de la production,m-t,gestion-de-la-production,"Planification , ordonnancement et lancement de la production - La G.P.A.O - Le Tableau de Bord de la production ...",26,39,2020-01-01 16:58:06
21,Froid - Climatisation,m-t,froid-climatisation,Économie d'énergie - Conduite et exploitation des chaudières - Distribution de la vapeur et méthode pratique d'économie réalisable dans une usine ...,27,,2020-01-01 17:01:45
22,Sécurité - Secourisme,m-t,securite-secourisme,Secourisme en milieu industriel - Sécurité et santé au travail - Analyse des risques et stratégie de prévention contre les accidents de travail ...,28,,2020-01-01 17:04:57
23,Qualité,m-t,qualite,Le management par la qualité totale - Importance de la qualité dans l'entreprise - Les exigences de la norme ISO 9001 Version 2008...,29,"40,41,42,43",2020-01-01 17:07:31
24,Audit,m-f,audit,L'audit fiscal - Audit des états financiers - Formation pour les auditeurs internes - Le déroulement d'une mission d'audit...,22,"47,48",2020-01-01 17:48:35
